Beam_Current,Cooling_Time,Counting_Time,Distance,Irradiation_Time,Total_Time
1.767756856509168e-08,1999.0,999.0,5.0,999.0,3997.0
1.629426365175642e-08,1994.0000000000064,994.0000000000064,5.0,994.0000000000064,3982.000000000019
1.691763406629271e-08,1969.0000000000384,969.0000000000384,5.0,969.0000000000383,3907.000000000115
2.05662135074229e-08,1844.000000000198,844.0000000001982,5.0,844.000000000198,3532.000000000594
4.7154528818894827e-08,1219.0000000009964,219.0000000009967,5.0,219.00000000099658,1657.0000000029897
3.7295944980670236e-07,1097.1160857069392,100.00000000179148,5.0,97.1160857069395,1294.23217141567
1.5107832934432708e-06,1093.1452962794508,100.00000000677434,5.0,93.14529627945114,1286.2905925656764
1.8705876033842639e-06,1073.2913489914397,100.0,5.0,73.29134899143997,1246.5826979828796
3.046930316222959e-06,1028.8834440514045,100.00000003569025,5.0,30.000000036483407,1158.883444123578
4.91441770873102e-06,1026.8203660277168,100.00000007758022,5.0,30.000000082093962,1156.8203661873908
4.897530572027746e-06,1016.5049756005866,100.00000000158663,5.0,30.00000000167745,1146.5049756038507
4.819248062156325e-06,964.9280237254956,100.0,5.0,30.0,1094.9280237254957
4.525212958216589e-06,707.0432650354068,100.0,5.0,30.0,837.0432650354068
3.797272133328257e-06,120.00000003580067,100.00000003206685,5.0,30.000000033947284,250.0000001018148
4.170500971593425e-06,120.0,100.0,5.0,30.0,250.0
4.170500986699504e-06,120.0,100.0,5.0,30.0,250.0
4.170500977049795e-06,120.0,100.0,5.0,30.0,250.0
4.170500979986636e-06,120.0,100.0,5.0,30.0,250.0
4.170500971621668e-06,120.0,100.0,5.0,30.0,250.0
