Beam_Current,Cooling_Time,Collection_Time,Distance,Irradiation_Time,Total_Time
2.2843083755721393e-06,9999.0,999.0,5.0,3599.0,14597.0
2.2883617448070552e-06,9994.0000000003,994.0000000003002,5.0,3594.0000000003,14582.0000000009
2.3379676659475133e-06,9969.000000001803,969.0000000018018,5.0,3569.0000000018017,14507.000000005406
2.6002217323541154e-06,9844.000000009311,844.0000000093103,5.0,3444.00000000931,14132.00000002793
4.352421157079456e-06,9219.000000046864,219.00000004686353,5.0,2819.000000046863,12257.000000140592
1e-05,9191.002513594049,194.12604311932364,5.0,2791.429759663971,12176.558316377344
9.999999999999952e-06,9172.871142007163,208.28407763638353,5.0,2777.6798418146527,12158.835061458198
9.999999999999999e-06,9077.515755416893,208.72061553328803,5.0,2695.3767382072942,11981.613109157475
9.999999999999999e-06,8601.340702960451,211.6444904890122,5.0,2284.501716498118,11097.486909947582
8.82784402218105e-06,6280.767745948515,191.73611114008372,5.0,277.565685636755,6750.069542725354
1e-05,6538.915423759317,245.4299122167394,5.0,510.25412415662504,7294.599460132681
1e-05,6498.3201219220255,264.58617908644464,5.0,477.8177800050718,7240.724081013542
9.99992697453492e-06,6476.984692909199,275.1842837315299,5.0,460.8402040927696,7213.009180733498
9.991632510713232e-06,6476.071457165711,275.68102055010127,5.0,460.04565320787776,7211.79813092369
1e-05,6474.191336991564,276.14322630253065,5.0,458.4738354558614,7208.808398749956
1e-05,6474.284377485168,276.12577127564936,5.0,458.54217773481275,7208.952326495631
4.016273390531496e-06,5946.979675022639,681.244415997209,5.0,30.00000000000003,6658.224091019848
1e-05,6208.326626839254,487.31078018964223,5.0,250.918138310833,6946.555545339728
1e-05,6208.625774684231,462.8235252262547,5.0,248.02359540609814,6919.472895316584
1e-05,6211.970559032452,446.9530732228821,5.0,248.77141344679106,6907.695045702126
9.999999999999999e-06,6215.468461312799,435.784454676088,5.0,250.24035969656984,6901.493275685457
9.999999999999999e-06,6215.787266198136,434.89028327064915,5.0,250.3756699751803,6901.053219443966
1e-05,6216.230456364425,433.8272455064182,5.0,250.61094161022004,6900.668643481063
9.999070581444418e-06,6216.610148299042,432.899782672147,5.0,250.81342121451172,6900.3233521857
9.993388480891001e-06,6216.478927108726,432.846346202923,5.0,250.67795263817186,6900.00322594982
9.987842886227697e-06,6216.353199443485,432.7890834076087,5.0,250.5475286594966,6899.6898115105905
9.98244273902293e-06,6216.231244599607,432.7323413516086,5.0,250.42097169288755,6899.384557644103
9.977269426826679e-06,6216.115699420255,432.67523127808704,5.0,250.30082563887515,6899.091756337217
9.972214641876234e-06,6216.0054437822255,432.61369147255243,5.0,250.18547584313185,6898.804611097909
9.96747629144054e-06,6215.909490739658,432.5398456914536,5.0,250.0831646575141,6898.532501088626
9.96688362405576e-06,6215.8977831339025,432.5299537318119,5.0,250.0704957745392,6898.498232640253
9.96644753530561e-06,6215.889279661532,432.5224424196088,5.0,250.06133971727078,6898.473061798411
9.966011799190345e-06,6215.881149125972,432.5141374451054,5.0,250.05249632515782,6898.447782896235
9.965485481760782e-06,6215.871097793263,432.5046013443068,5.0,250.041554904052,6898.417254041622
9.965064371263218e-06,6215.862909035006,432.49730021455537,5.0,250.0327434771032,6898.392952726665
9.965008067664526e-06,6215.861796643889,432.4963584677628,5.0,250.03152039112527,6898.389675502776
9.96485721071537e-06,6215.858928329882,432.49359042936373,5.0,250.02833986026695,6898.380858619512
9.670127785576212e-06,6223.162195807486,401.3490916014495,5.0,273.8738702945105,6898.385157703446
9.999999999999508e-06,6208.9561520102825,449.15001480036125,5.0,240.2813377143308,6898.387504524975
