Beam_Current,Cooling_Time,Counting_Time,Distance,Irradiation_Time,Total_Time
3.6668967178351875e-07,199.0,198.9999999999999,5.0,198.9999999999999,596.9999999999998
3.396483722456108e-07,194.00000000014035,194.00000000014023,5.0,194.00000000014023,582.0000000004209
4.217049124441622e-07,169.00000000084387,169.00000000084373,5.0,169.00000000084373,507.0000000025313
6.841888728437815e-07,120.00000000000088,118.20472440950289,5.0,118.20472440950292,356.4094488190067
9.345988292609598e-07,120.0,115.01102554964179,5.0,115.01102554964181,350.0220510992836
1.1907784614893167e-06,120.00000000000891,100.00000000000851,5.0,99.8871474707643,319.8871474707817
1.2762556082382956e-06,120.00000000042695,100.00000000049032,5.0,97.89979941644293,317.8997994173602
1.4075291431725853e-06,120.0,100.0,5.0,87.96305914190675,307.96305914190674
2.2173656953183924e-06,120.0,100.0,5.0,38.27935777174326,258.27935777174326
3.748061898414705e-06,120.0,100.0,5.0,30.0,250.0
4.170500967894174e-06,120.0,100.0,5.0,30.0,250.0
