energy,intensity,half_life,fraction_m,half_life_m
71.6418,0.164,574067.52,0,0
112.9498,6.23,574067.52,0,0
136.7245,0.0465,574067.52,0,0
208.3662,10.41,574067.52,0,0
249.6742,0.1997,574067.52,0,0
321.3159,0.2186,574067.52,0,0
9.114,3.036535485,574067.52,0,0
54.608,1.571603593,574067.52,0,0
55.786,2.750443809,574067.52,0,0
63.333,0.9073911673,574067.52,0,0
64.057,1.149664609,574067.52,0,0
64.935,0.2422734417,574067.52,0,0
